data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2026-08-20 01:58:08.516640;48;CARRIS PORTO-ALEGRENSE LTDA;JAC7I03;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2026-08-20 01:58:08.516640;62;CARRIS PORTO-ALEGRENSE LTDA;JAC7I37;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2026-08-20 01:58:08.516640;6;CARRIS PORTO-ALEGRENSE LTDA;JAD0C21;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2026-08-20 01:58:08.516640;3357;SUDESTE TRANSPORTES COLETIVOS LTDA;JBS6G25;M. BENZ;OF 1721L;2022-10-19;2022;DIESEL
2026-08-20 01:58:08.516640;3352;SUDESTE TRANSPORTES COLETIVOS LTDA;JBS6G33;M. BENZ;OF 1721                                           ;2022-09-06;2022;DIESEL
2026-08-20 01:58:08.516640;6400;NORTRAN TRANSPORTES COLETIVOS LTDA;JCF8E47;Mercedes Benz;OF 1619;2023-09-27;2023;DIESEL
2026-08-20 01:58:08.516640;6673;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCD9B36;M. BENZ;OF 1721L;2023-08-22;2023;DIESEL
2026-08-20 01:58:08.516640;6500;NORTRAN TRANSPORTES COLETIVOS LTDA;JCP5F64;M. BENZ;OF 1619;2024-03-28;2023;DIESEL
2026-08-20 01:58:08.516640;108;CARRIS PORTO-ALEGRENSE LTDA;JCV2D62;M. BENZ;OF 1721L;2024-07-18;2024;DIESEL
2026-08-20 01:58:08.516640;6674;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCD9B70;M. BENZ;OF 1721L;2023-08-22;2023;DIESEL
2026-08-20 01:58:08.516640;6447;NORTRAN TRANSPORTES COLETIVOS LTDA;JCF8E55;Mercedes Benz;OF1619;2023-09-27;2023;DIESEL
2026-08-20 01:58:08.516640;2224;VIACAO TERESOPOLIS CAVALHADA LTDA;JCI3G74;M. BENZ;OF 1721L;2023-11-13;2023;DIESEL
2026-08-20 01:58:08.516640;150;CARRIS PORTO-ALEGRENSE LTDA;JCV2E97;M. BENZ;OF 1619;2024-07-18;2024;DIESEL
2026-08-20 01:58:08.516640;170;CARRIS PORTO-ALEGRENSE LTDA;JCZ8I39;M. BENZ;OF 1721                                           ;2024-09-25;2024;DIESEL
2026-08-20 01:58:08.516640;176;CARRIS PORTO-ALEGRENSE LTDA;JDA2H82;M. BENZ;OF 1721L;2024-09-30;2024;DIESEL
2026-08-20 01:58:08.516640;4829;AUTO VIACAO PRESIDENTE VARGAS LTDA;JDB1D96;M. BENZ;OF 1721L;2024-10-11;2024;DIESEL
2026-08-20 01:58:08.516640;3379;SUDESTE TRANSPORTES COLETIVOS LTDA;JDB7J18;M. BENZ;OF 1721L;2024-10-22;2024;DIESEL
2026-08-20 01:58:08.516640;3528;EMPRESA GAZÔMETRO DE TRANSPORTES LTDA;IUP7A32;M. BENZ;OF 1721                                           ;2013-05-09;2013;DIESEL
2026-08-20 01:58:08.516640;181;CARRIS PORTO-ALEGRENSE LTDA;JDG7C33;M. BENZ;O500MA                                            ;2024-12-06;2024;DIESEL
2026-08-20 01:58:08.516640;4813;AUTO VIACAO PRESIDENTE VARGAS LTDA;JDL4F48;M. BENZ;OF 1721                                           ;2025-03-26;2024;DIESEL
2026-08-20 01:58:08.516640;6129;AUTO VIACAO NAVEGANTES LTDA;TQP1D24;M. BENZ;OF 1721L;2025-06-09;2025;DIESEL
2026-08-20 01:58:08.516640;6438;NORTRAN TRANSPORTES COLETIVOS LTDA;JCF8I16;Mercedes Benz;OF1619;2023-09-28;2023;DIESEL
2026-08-20 01:58:08.516640;6506;NORTRAN TRANSPORTES COLETIVOS LTDA;JCP5G43;M. BENZ;OF 1619;2024-03-28;2023;DIESEL
2026-08-20 01:58:08.516640;121;CARRIS PORTO-ALEGRENSE LTDA;JCQ7A51;M. BENZ;OF 1721L;2024-04-18;2024;DIESEL
2026-08-20 01:58:08.516640;123;CARRIS PORTO-ALEGRENSE LTDA;JCV6J00;M. BENZ;OF 1721L;2024-07-25;2024;DIESEL
2026-08-20 01:58:08.516640;1234;TRANSPORTES COLETIVOS TREVO LTDA;JDD6C57;M. BENZ;OF 1619;2024-11-13;2024;DIESEL
2026-08-20 01:58:08.516640;6126;AUTO VIACAO NAVEGANTES LTDA;TQP1D18;M. BENZ;OF 1721L;2025-06-09;2025;DIESEL
2026-08-20 01:58:08.516640;6145;AUTO VIACAO NAVEGANTES LTDA;TQP1D39;M. BENZ;OF 1721L;2025-06-10;2025;DIESEL
2026-08-20 01:58:08.516640;6667;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCS6H58;M. BENZ;OF 1721L;2024-06-10;2023;DIESEL
2026-08-20 01:58:08.516640;143;CARRIS PORTO-ALEGRENSE LTDA;JCU9C27;M. BENZ;OF 1721L;2024-07-15;2024;DIESEL
2026-08-20 01:58:08.516640;144;CARRIS PORTO-ALEGRENSE LTDA;JCU9C25;M. BENZ;OF 1721L;2024-07-15;2024;DIESEL
2026-08-20 01:58:08.516640;9403;VIACAO TERESOPOLIS CAVALHADA LTDA;JCW0G63;MARCOPOLO;ATTIVI  E U;2024-07-31;2024;ELÉTRICO
2026-08-20 01:58:08.516640;4423;VIACAO ALTO PETROPOLIS LTDA;JCX8H44;M. BENZ;OF 1721L;2024-08-27;2023;DIESEL
2026-08-20 01:58:08.516640;1229;TRANSPORTES COLETIVOS TREVO LTDA;JDC0C17;M. BENZ;OF1619;2024-10-24;2024;DIESEL
2026-08-20 01:58:08.516640;6680;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JDD9G94;M. BENZ;OF 1721L;2024-11-19;2024;DIESEL
2026-08-20 01:58:08.516640;2116;VIACAO TERESOPOLIS CAVALHADA LTDA;JDF2C48;M. BENZ;OF 1721L;2024-12-05;2024;DIESEL
2026-08-20 01:58:08.516640;6586;NORTRAN TRANSPORTES COLETIVOS LTDA;JBJ4A14;M. BENZ;OF 1721                                           ;2022-01-06;2021;DIESEL
2026-08-20 01:58:08.516640;6120;AUTO VIACAO NAVEGANTES LTDA;JBS7B45;M. BENZ;OF 1721                                           ;2022-10-06;2022;DIESEL
2026-08-20 01:58:08.516640;4839;AUTO VIACAO PRESIDENTE VARGAS LTDA;JBU1A27;M. BENZ;OF1519;2023-01-26;2022;DIESEL
2026-08-20 01:58:08.516640;3367;SUDESTE TRANSPORTES COLETIVOS LTDA;JBZ5G92;M. BENZ;OF 1721                                           ;2023-05-31;2022;DIESEL
2026-08-20 01:58:08.516640;6114;AUTO VIACAO NAVEGANTES LTDA;JBS7B78;M. BENZ;OF 1721                                           ;2022-10-06;2022;DIESEL
2026-08-20 01:58:08.516640;9402;VIACAO TERESOPOLIS CAVALHADA LTDA;JCW2H04;MARCOPOLO;ATTIVI E U;2024-08-02;2024;ELÉTRICO
2026-08-20 01:58:08.516640;4450;VIACAO ALTO PETROPOLIS LTDA;JBZ7H61;M. BENZ;OF 1721L;2023-06-06;2022;DIESEL
2026-08-20 01:58:08.516640;6704;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCD9B45;M. BENZ;OF 1721L;2023-08-22;2023;DIESEL
2026-08-20 01:58:08.516640;6450;NORTRAN TRANSPORTES COLETIVOS LTDA;JCF8E61;Mercedes Benz;OF1619;2023-09-28;2023;DIESEL
2026-08-20 01:58:08.516640;6731;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCI6J68;M. BENZ;OF 1721L;2023-11-20;2023;DIESEL
2026-08-20 01:58:08.516640;9002;NORTRAN TRANSPORTES COLETIVOS LTDA;JCI7B36;MARCOPOLO;ATTIVI E U;2023-11-21;2023;ELÉTRICO
2026-08-20 01:58:08.516640;6660;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;JCS6H24;M. BENZ;OF 1721L;2024-06-10;2023;DIESEL
2026-08-20 01:58:08.516640;102;CARRIS PORTO-ALEGRENSE LTDA;JCV2D64;M. BENZ;OF 1721L;2024-07-18;2024;DIESEL
2026-08-20 01:58:08.516640;129;CARRIS PORTO-ALEGRENSE LTDA;JCV7C88;M. BENZ;OF 1721L;2024-07-26;2024;DIESEL
2026-08-20 01:58:08.516640;3385;SUDESTE TRANSPORTES COLETIVOS LTDA;JDC0G86;M. BENZ;OF 1721L;2024-10-24;2024;DIESEL
2026-08-20 01:58:08.516640;6138;AUTO VIACAO NAVEGANTES LTDA;JDC7B98;M. BENZ;OF 1721L;2024-11-01;2024;DIESEL
2026-08-20 01:58:08.516640;4845;AUTO VIACAO PRESIDENTE VARGAS LTDA;JDL4F18;M. BENZ;OF 1721                                           ;2025-03-26;2024;DIESEL
